idviagem;taxa;datapartida;datachegada;cidade_origem;pais_origem;cidade_destino;pais_destino;nomecondutor;idadecondutor;certificacao;nomebarco;tipobarco;capacidadeteu;sexo;numerocontentares;peso
306;6676,35;15/02/2024;03/03/2024;Le Havre;França;FigueiraDaFoz;Portugal;Patrícia Marques;41;CoC Class 1;MV Guadiana 258;graneleiro;0;m;7;70
307;7293,99;23/03/2025;05/04/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Catarina Teixeira;59;STCW A-II/2;MV Sagres 312;graneleiro;0;m;9;153
308;22179,8;11/04/2025;18/04/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Raquel Teixeira;34;CoC Class 2;NS Mondego 441;petroleiro;0;m;4;76
309;37931,24;15/02/2025;02/03/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Hugo Fernandes;54;Yachtmaster;NS Mondego 182;cargueiro;0;h;7;105
310;34706,4;04/10/2024;08/10/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Mariana Nunes;44;Yachtmaster;MT Atlântico 288;cargueiro;0;m;3;54
311;38778,23;29/08/2024;02/09/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Inês Pinto;51;STCW A-II/2;SS Nereida 976;ro-ro;1140;m;942;17898
312;3241,36;04/02/2025;14/02/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Manuel Sousa;25;Pilotage;NS Gaivota 143;container;11883;h;5039;65507
313;22851,96;01/11/2024;15/11/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Luís Oliveira;53;Pilotage;NS Atlântida 460;graneleiro;0;h;5;95
314;4215,68;14/08/2024;03/09/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Bárbara Alves;36;Yachtmaster;NS Poseidon 810;ro-ro;5226;m;2129;31935
315;41120,5;02/02/2024;08/02/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Tiago Martins;39;Pilotage;SS Poseidon 577;petroleiro;0;h;3;30
316;47270,88;03/04/2025;05/04/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Teresa Pereira;58;STCW A-II/1;MT Açor 523;container;3856;m;1186;17790
317;39945,67;08/04/2024;21/04/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Manuel Gonçalves;39;CoC Class 2;SS Guadiana 26;graneleiro;0;h;7;119
318;34344,47;05/06/2024;16/06/2024;Génova;Itália;FigueiraDaFoz;Portugal;Hugo Marques;56;STCW A-II/1;SS Guadiana 320;container;14498;h;13465;201975
319;43534,66;22/01/2024;02/02/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Marta Ribeiro;51;CoC Class 2;NS Lusitania 449;petroleiro;0;m;4;44
320;47237,18;16/01/2025;28/01/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Sofia Sousa;52;STCW A-II/1;MV Mondego 664;container;1488;m;1197;23940
321;16285,65;24/03/2024;30/03/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Ricardo Ribeiro;43;STCW A-II/2;SS Mondego 574;ro-ro;5606;h;3562;39182
322;37546,01;23/07/2025;29/07/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Sara Alves;39;Pilotage;SS Neptuno 406;cargueiro;0;m;8;104
323;36031,28;11/06/2024;28/06/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Manuel Pinto;49;CoC Class 2;MV Argonauta 211;graneleiro;0;h;3;54
324;27618,41;27/09/2024;09/10/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Artur Pereira;40;Yachtmaster;MT Mondego 202;cargueiro;0;h;6;96
325;43562,54;29/02/2024;14/03/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Luís Nunes;49;Yachtmaster;NS Atlântico 602;petroleiro;0;h;8;120
326;23230,99;04/11/2024;12/11/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Joana Lopes;39;Yachtmaster;MT Atlântida 689;cargueiro;0;m;7;112
327;15414,23;15/07/2025;04/08/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Inês Martins;31;CoC Class 1;SS Guadiana 711;container;17843;m;15756;204828
328;24594,6;19/06/2025;22/06/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Teresa Teixeira;44;STCW A-II/2;NS Neptuno 191;ro-ro;626;m;449;8082
329;30758,02;24/07/2024;31/07/2024;Génova;Itália;FigueiraDaFoz;Portugal;Henrique Costa;41;CoC Class 2;SS Caravela 323;petroleiro;0;h;8;80
330;29516,6;04/06/2025;10/06/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Diogo Silva;46;CoC Class 2;SS Atlântico 987;cargueiro;0;h;8;104
331;22229,09;26/04/2024;28/04/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Teresa Nunes;48;CoC Class 2;NS Caravela 85;graneleiro;0;m;7;98
332;1569,41;04/03/2024;17/03/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Ricardo Sousa;41;STCW A-II/1;SS Minho 173;petroleiro;0;h;4;80
333;15291,47;30/09/2024;18/10/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Daniela Ribeiro;55;STCW A-II/1;MV Tejo 794;ro-ro;265;m;199;1990
334;45483,11;27/10/2024;28/10/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Daniela Santos;62;Pilotage;SS Neptuno 105;graneleiro;0;m;4;48
335;8150,18;01/08/2024;20/08/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Maria Lopes;48;CoC Class 1;MV Íris 887;petroleiro;0;m;4;44
336;1900,01;10/08/2025;24/08/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Carlos Pinto;56;Pilotage;NS Caravela 631;petroleiro;0;h;5;100
337;28422,79;05/11/2024;25/11/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Carlos Santos;57;Yachtmaster;MT Caravela 332;petroleiro;0;h;9;126
338;5305,46;29/08/2024;30/08/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Bárbara Jesus;26;Yachtmaster;SS Neptuno 941;container;6868;m;3978;55692
339;20449,24;11/08/2025;31/08/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Beatriz Oliveira;50;STCW A-II/2;MT Açor 780;cargueiro;0;m;7;91
340;34783,78;12/07/2024;18/07/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Beatriz Pinto;50;Pilotage;NS Atlântico 463;petroleiro;0;m;7;77
341;7086,78;22/05/2024;24/05/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Nuno Ribeiro;35;Pilotage;MT Íris 974;petroleiro;0;h;7;77
342;31213,62;26/09/2025;02/10/2025;Génova;Itália;FigueiraDaFoz;Portugal;Bárbara Silva;33;Pilotage;NS Guadiana 871;container;7417;m;2804;50472
343;43677,49;10/08/2024;19/08/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Marta Marques;36;STCW A-II/2;MT Mondego 849;graneleiro;0;m;4;76
344;44846,02;13/11/2024;03/12/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Daniela Pinto;31;STCW A-II/2;NS Mondego 916;ro-ro;558;m;335;6700
345;36516,5;24/01/2025;27/01/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Tiago Lopes;38;STCW A-II/1;SS Íris 468;container;13758;h;4618;83124
346;24484,67;12/01/2024;24/01/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Marta Oliveira;37;Pilotage;SS Tejo 96;petroleiro;0;m;6;60
347;37469,67;30/08/2024;18/09/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Sofia Gonçalves;60;Pilotage;MV Atlântico 641;cargueiro;0;m;8;112
348;36240,89;22/09/2025;11/10/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Paulo Ferreira;42;Pilotage;MV Argonauta 489;container;10681;h;9258;185160
349;4994,8;02/07/2025;11/07/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Artur Martins;27;Yachtmaster;MV Nereida 713;graneleiro;0;h;3;51
350;48078,25;04/02/2024;19/02/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Paulo Oliveira;57;CoC Class 2;SS Atlântico 92;container;7505;h;3085;46275
351;17950,81;24/01/2024;13/02/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Bruno Gonçalves;61;CoC Class 1;NS Sagres 657;cargueiro;0;h;3;30
352;26185,8;29/12/2024;18/01/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Gonçalo Pinto;48;STCW A-II/1;SS Íris 360;ro-ro;1812;h;646;10982
353;24846,78;08/09/2025;12/09/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Paulo Teixeira;58;Pilotage;SS Atlântida 919;graneleiro;0;h;8;104
354;39854,85;31/07/2025;15/08/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Tiago Pinto;58;Pilotage;MT Neptuno 323;graneleiro;0;h;5;60
355;31525,36;21/10/2024;31/10/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Luís Ferreira;36;STCW A-II/2;MT Nereida 869;ro-ro;3814;h;3000;54000
356;7446,82;05/07/2025;20/07/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Gonçalo Teixeira;57;Yachtmaster;NS Minho 662;cargueiro;0;h;6;60
357;9804,47;03/06/2025;07/06/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Filipe Alves;54;STCW A-II/1;NS Atlântida 541;cargueiro;0;h;8;96
358;21238,53;09/06/2025;23/06/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Raquel Oliveira;26;CoC Class 2;NS Guadiana 560;ro-ro;474;m;172;2924
359;29391,33;06/07/2025;21/07/2025;Le Havre;França;FigueiraDaFoz;Portugal;Sofia Silva;38;Yachtmaster;MV Tejo 221;container;5099;m;4369;78642
360;20163;24/03/2024;26/03/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Nuno Ribeiro;30;CoC Class 1;NS Neptuno 719;ro-ro;3316;h;1414;28280
361;33180,1;28/01/2024;30/01/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Henrique Carvalho;59;Yachtmaster;MT Atlântida 318;cargueiro;0;h;6;60
362;7412,81;24/03/2025;01/04/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Pedro Carvalho;36;CoC Class 1;MV Minho 716;graneleiro;0;h;7;133
363;12566,47;27/10/2024;11/11/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Miguel Martins;55;STCW A-II/1;MV Íris 627;graneleiro;0;h;5;55
364;17513,16;21/09/2025;05/10/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Hugo Costa;40;STCW A-II/1;SS Nereida 168;container;6224;h;2763;55260
365;13187;26/12/2024;27/12/2024;Génova;Itália;FigueiraDaFoz;Portugal;Helena Ribeiro;29;Pilotage;SS Guadiana 130;petroleiro;0;m;9;162
366;2796,9;27/05/2025;16/06/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;João Fernandes;52;CoC Class 2;MV Tejo 730;petroleiro;0;h;4;40
367;43346,59;22/07/2024;27/07/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Filipe Lopes;52;Yachtmaster;MV Gaivota 880;petroleiro;0;h;5;85
368;7025,57;11/09/2025;01/10/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Diogo Costa;38;CoC Class 1;MV Açor 759;container;16501;h;11909;238180
369;6983,39;19/10/2024;08/11/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Miguel Silva;50;STCW A-II/2;NS Guadiana 393;container;15860;h;5116;76740
370;6062,14;16/07/2024;21/07/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Miguel Carvalho;29;Pilotage;SS Mondego 255;graneleiro;0;h;7;112
371;49344,88;24/07/2024;05/08/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Patrícia Ferreira;44;Yachtmaster;MV Poseidon 184;petroleiro;0;m;8;144
372;16833,4;03/08/2024;14/08/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Nuno Ferreira;58;CoC Class 2;MT Mondego 89;petroleiro;0;h;5;70
373;13457;03/07/2024;10/07/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Ana Gonçalves;55;STCW A-II/2;MT Açor 476;petroleiro;0;m;7;119
374;33676,35;02/03/2025;20/03/2025;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Marta Carvalho;47;STCW A-II/2;MV Neptuno 25;cargueiro;0;m;9;180
375;47051,17;30/05/2024;12/06/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Ana Fernandes;40;STCW A-II/1;MT Lusitania 211;graneleiro;0;m;3;54
376;5601,14;09/01/2025;17/01/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Paulo Nunes;45;STCW A-II/1;MT Atlântida 45;cargueiro;0;h;4;52
377;13510,02;17/12/2024;23/12/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Joana Lopes;29;Pilotage;MV Sagres 653;container;12873;m;10761;172176
378;1858,28;11/07/2024;22/07/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Artur Pinto;34;STCW A-II/1;SS Açor 299;graneleiro;0;h;4;60
379;6542,38;24/05/2024;01/06/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Rita Fernandes;36;CoC Class 1;MT Açor 77;graneleiro;0;m;8;120
380;11568,08;10/12/2024;24/12/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Artur Pereira;28;STCW A-II/2;SS Íris 478;container;3572;h;3346;46844
381;29282,08;22/02/2024;09/03/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Inês Carvalho;29;CoC Class 1;NS Minho 475;cargueiro;0;m;5;65
382;16587,47;07/08/2024;09/08/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Rui Costa;30;Pilotage;MV Argonauta 856;petroleiro;0;h;6;96
383;43666,92;09/06/2024;18/06/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Rui Martins;49;CoC Class 1;MV Minho 267;graneleiro;0;h;5;65
384;6346,37;07/08/2025;20/08/2025;Le Havre;França;FigueiraDaFoz;Portugal;Nuno Lopes;55;Yachtmaster;SS Lusitania 474;ro-ro;588;h;539;7546
385;33712,08;01/09/2025;07/09/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Tiago Silva;28;STCW A-II/1;SS Argonauta 844;cargueiro;0;h;4;60
386;44016,67;29/03/2025;31/03/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Sofia Pinto;42;Yachtmaster;MV Nereida 67;petroleiro;0;m;4;68
387;6890,24;05/10/2024;24/10/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Beatriz Ferreira;35;CoC Class 1;MV Íris 52;container;4212;m;3743;63631
388;18956,62;30/03/2025;14/04/2025;Le Havre;França;FigueiraDaFoz;Portugal;Rita Nunes;25;STCW A-II/1;NS Caravela 363;graneleiro;0;m;4;44
389;22985,99;22/05/2024;10/06/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Luís Jesus;53;CoC Class 2;MV Açor 663;cargueiro;0;h;5;75
390;4586,6;31/10/2024;17/11/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Teresa Carvalho;59;CoC Class 2;MV Tejo 393;container;14937;m;9654;135156
391;23711,21;13/09/2025;27/09/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Marta Ribeiro;34;STCW A-II/2;MV Atlântico 801;ro-ro;1061;m;476;8568
392;45797,59;03/01/2024;11/01/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Daniela Nunes;26;CoC Class 1;MT Atlântico 277;ro-ro;2601;m;1304;23472
393;26804,57;08/08/2024;20/08/2024;Le Havre;França;FigueiraDaFoz;Portugal;Bruno Teixeira;29;STCW A-II/2;MT Poseidon 829;container;16853;h;7310;80410
394;38479,28;26/10/2024;30/10/2024;Génova;Itália;FigueiraDaFoz;Portugal;Bárbara Martins;39;STCW A-II/2;SS Açor 273;container;8734;m;6847;116399
395;10593,12;21/11/2024;05/12/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Ricardo Pinto;45;CoC Class 2;SS Caravela 243;petroleiro;0;h;5;70
396;12930,63;01/12/2024;16/12/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Joana Pinto;39;STCW A-II/1;SS Argonauta 857;petroleiro;0;m;9;144
397;24479,98;20/02/2024;06/03/2024;Génova;Itália;FigueiraDaFoz;Portugal;Carolina Nunes;28;STCW A-II/1;MV Açor 617;container;13576;m;9176;146816
398;46550,69;29/11/2024;03/12/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Gonçalo Nunes;51;STCW A-II/1;SS Sagres 349;petroleiro;0;h;5;65
399;30906,36;04/06/2024;07/06/2024;Le Havre;França;FigueiraDaFoz;Portugal;Maria Silva;32;STCW A-II/2;SS Lusitania 867;ro-ro;205;m;74;1036
400;21263,91;02/01/2024;19/01/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Sofia Gonçalves;37;Pilotage;MV Mondego 310;graneleiro;0;m;6;108
401;34374,77;10/12/2024;21/12/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;André Marques;31;Pilotage;MT Caravela 725;graneleiro;0;h;7;140
402;10044,67;08/08/2025;15/08/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Sara Pinto;37;STCW A-II/2;MT Minho 131;graneleiro;0;m;5;90
403;5264,91;07/11/2024;24/11/2024;Le Havre;França;FigueiraDaFoz;Portugal;Artur Alves;60;Yachtmaster;SS Mondego 944;container;10167;h;8830;167770
404;30478,98;19/01/2025;31/01/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Artur Pereira;37;CoC Class 2;MT Atlântida 244;cargueiro;0;h;4;40
405;11390,2;27/04/2024;06/05/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Carolina Ferreira;50;Pilotage;NS Nereida 272;petroleiro;0;m;7;126
406;18317,65;10/01/2024;20/01/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Rui Gonçalves;32;CoC Class 1;MV Poseidon 396;container;6795;h;3028;42392
407;14465,5;02/06/2024;07/06/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Carolina Marques;28;CoC Class 2;MT Atlântico 104;graneleiro;0;m;7;98
408;38566,15;14/06/2025;18/06/2025;Génova;Itália;FigueiraDaFoz;Portugal;André Lopes;34;STCW A-II/1;MT Nereida 327;container;645;h;262;3930
409;9232,7;14/03/2025;01/04/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Rui Fernandes;29;STCW A-II/2;SS Atlântida 561;graneleiro;0;h;4;64
410;27232,55;27/04/2025;09/05/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Catarina Teixeira;58;CoC Class 2;NS Caravela 622;container;17514;m;11575;185200
411;12282,06;07/03/2025;12/03/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Miguel Pereira;39;CoC Class 1;SS Neptuno 714;cargueiro;0;h;6;66
412;20154,39;30/03/2025;10/04/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Mariana Sousa;34;STCW A-II/2;MV Atlântico 586;container;9660;m;4388;57044
413;35062,08;23/05/2025;25/05/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Beatriz Santos;59;CoC Class 1;NS Atlântida 302;container;4858;m;4067;81340
414;49571,54;07/07/2025;14/07/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Marta Pereira;35;STCW A-II/1;SS Minho 84;cargueiro;0;m;6;84
415;36492,6;28/10/2024;16/11/2024;Génova;Itália;FigueiraDaFoz;Portugal;Hugo Alves;28;CoC Class 2;MT Atlântida 658;graneleiro;0;h;9;90
416;5197,25;07/07/2025;14/07/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Carolina Gonçalves;60;CoC Class 2;SS Íris 46;petroleiro;0;m;8;144
417;20658,21;18/12/2024;22/12/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Cláudia Jesus;27;STCW A-II/2;MV Sagres 771;petroleiro;0;m;4;52
418;26433,93;18/12/2024;24/12/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Diogo Carvalho;28;CoC Class 2;SS Poseidon 861;ro-ro;1904;h;1741;17410
419;32368,24;03/10/2025;08/10/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Daniela Nunes;51;Yachtmaster;NS Minho 81;cargueiro;0;m;7;98
420;12310,63;17/08/2024;25/08/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Gonçalo Pinto;27;Yachtmaster;SS Lusitania 973;ro-ro;3161;h;2742;41130
421;33804,86;27/02/2024;01/03/2024;Sines;Portugal;FigueiraDaFoz;Portugal;André Rodrigues;46;STCW A-II/2;MV Neptuno 81;cargueiro;0;h;4;56
422;28331,39;20/06/2024;22/06/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Pedro Teixeira;62;CoC Class 1;MV Atlântida 398;petroleiro;0;h;3;30
423;28552,54;19/12/2024;08/01/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Daniela Fernandes;32;CoC Class 1;NS Nereida 806;ro-ro;761;m;431;6034
424;32113,04;01/07/2025;06/07/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Inês Marques;37;STCW A-II/2;MV Lusitania 577;cargueiro;0;m;3;57
425;23068,18;29/10/2024;14/11/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Daniela Gonçalves;54;CoC Class 2;NS Gaivota 586;petroleiro;0;m;4;64
426;33580,67;12/01/2024;29/01/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Maria Costa;40;CoC Class 1;SS Atlântico 40;graneleiro;0;m;9;153
427;12497,46;29/05/2025;14/06/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Sara Santos;54;Pilotage;MT Guadiana 21;graneleiro;0;m;6;114
428;12939,18;13/12/2024;01/01/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Mariana Jesus;29;CoC Class 2;SS Sagres 308;container;9055;m;4990;84830
429;7257,96;12/10/2024;01/11/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Patrícia Marques;30;Yachtmaster;SS Íris 217;container;5395;m;3010;60200
430;2771,86;04/04/2025;10/04/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Helena Gonçalves;58;STCW A-II/1;SS Atlântida 319;ro-ro;2656;m;1538;26146
431;5294,49;25/04/2025;13/05/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Beatriz Ribeiro;26;Yachtmaster;SS Argonauta 897;container;19292;m;10849;216980
432;14705,47;24/03/2025;04/04/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Ricardo Santos;27;CoC Class 2;MT Argonauta 281;container;5799;h;3746;63682
433;39527,52;14/07/2024;01/08/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Helena Alves;30;Pilotage;MV Açor 382;container;18326;m;13270;212320
434;6701,95;22/05/2024;27/05/2024;Génova;Itália;FigueiraDaFoz;Portugal;Carolina Nunes;36;Yachtmaster;MT Guadiana 168;ro-ro;660;m;453;7701
435;44020,74;16/08/2025;29/08/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Hugo Silva;59;CoC Class 2;SS Argonauta 878;container;11921;h;3885;62160
436;39711,49;06/04/2025;12/04/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Carlos Jesus;27;Pilotage;MV Nereida 486;graneleiro;0;h;6;60
437;20746,03;09/06/2025;18/06/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Vítor Silva;39;STCW A-II/2;MT Tejo 434;petroleiro;0;h;5;60
438;17958,89;31/07/2025;02/08/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Cláudia Jesus;59;STCW A-II/2;MT Atlântico 599;graneleiro;0;m;7;84
439;46215,1;22/09/2024;24/09/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Gonçalo Gonçalves;49;Yachtmaster;MT Minho 701;ro-ro;5508;h;2391;35865
440;47687,08;19/04/2024;05/05/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Sofia Fernandes;27;CoC Class 1;MT Tejo 672;petroleiro;0;m;3;60
441;24433,47;25/01/2024;07/02/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Pedro Ribeiro;58;STCW A-II/2;NS Mondego 698;container;16251;h;6367;108239
442;4918,3;20/06/2025;05/07/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Filipe Sousa;28;CoC Class 1;NS Atlântico 755;graneleiro;0;h;3;30
443;43929,15;12/01/2024;25/01/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Bruno Martins;55;Pilotage;NS Guadiana 520;ro-ro;945;h;783;7830
444;1866,7;22/03/2025;28/03/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Henrique Costa;56;CoC Class 1;NS Sagres 759;container;18768;h;9596;134344
445;4006,13;09/05/2024;28/05/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Bruno Ferreira;55;STCW A-II/2;SS Minho 431;petroleiro;0;h;4;76
446;11376,01;11/04/2025;13/04/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Patrícia Pinto;34;CoC Class 1;MV Gaivota 55;graneleiro;0;m;7;70
447;12719,83;16/01/2025;27/01/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Filipe Rodrigues;55;Yachtmaster;NS Minho 424;container;5578;h;3623;36230
448;15860,48;08/04/2024;17/04/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Pedro Rodrigues;52;CoC Class 1;NS Sagres 324;graneleiro;0;h;5;65
449;4052,3;19/09/2024;05/10/2024;Le Havre;França;FigueiraDaFoz;Portugal;Filipe Fernandes;40;Pilotage;MT Poseidon 5;cargueiro;0;h;4;48
450;12399,63;16/09/2024;20/09/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Marta Costa;41;Yachtmaster;NS Atlântida 133;cargueiro;0;m;7;84
451;31570,9;14/01/2025;03/02/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Teresa Alves;53;CoC Class 2;NS Nereida 39;graneleiro;0;m;9;153
452;33049,71;03/05/2024;09/05/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Diogo Silva;61;CoC Class 1;SS Nereida 693;ro-ro;5793;h;5241;99579
453;21292,36;27/04/2025;04/05/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Ricardo Gonçalves;51;CoC Class 1;MV Atlântico 516;cargueiro;0;h;6;60
454;19966,86;09/06/2025;16/06/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Carolina Ferreira;61;STCW A-II/1;MT Íris 746;petroleiro;0;m;6;102
455;21510,45;06/10/2025;08/10/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Teresa Oliveira;51;CoC Class 1;MT Argonauta 169;graneleiro;0;m;6;66
456;7718,38;13/08/2025;23/08/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Ricardo Martins;47;Pilotage;SS Nereida 604;cargueiro;0;h;5;75
457;48817,81;26/02/2025;03/03/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Tiago Gonçalves;25;Pilotage;NS Tejo 790;container;15328;h;7453;74530
458;19199,02;03/12/2024;08/12/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Vítor Santos;56;Pilotage;MV Poseidon 707;container;663;h;619;6809
